Age,Gender,Specialty,Email_Open_Rate,Click_Through_Rate,Webinar_Attendance,Content_Downloads,Social_Media_Interactions,Website_Visits
37,Female,Cardiology,0.766691755978784,0.3009667145705032,5,13,13,45
53,Male,Neurology,0.7273141668957411,0.6747738664855442,6,8,25,161
40,Male,Pediatrics,0.7322356755883983,0.6384779172714414,9,13,44,15
46,Female,Cardiology,0.42354203609777963,0.17726423761304266,9,0,26,75
37,Male,Cardiology,0.3642326598380441,0.09508484556885755,2,18,8,84
64,Male,Oncology,0.8284250399306623,0.11550570089532732,6,12,25,13
64,Male,Neurology,0.8291020552112627,0.06184418667350732,2,12,46,88
62,Female,Neurology,0.8803650867220933,0.11138792449135346,1,3,21,143
34,Female,Oncology,0.9219164973008241,0.4939544027206319,9,0,46,127
57,Female,Oncology,0.560208158974844,0.09627262149914884,3,16,29,122
36,Male,Neurology,0.5513646652184797,0.2573341596909448,7,7,42,103
38,Male,Neurology,0.8184656610700977,0.5991689521301454,8,1,47,188
37,Female,Pediatrics,0.6849675376999886,0.06512675822828681,6,7,16,71
41,Female,Pediatrics,0.731770189531933,0.5794045136828082,0,6,25,194
63,Female,Oncology,0.816213402492491,0.23320560360270992,2,1,35,88
62,Female,Pediatrics,0.9010048076358097,0.12680713795407655,8,2,0,145
52,Male,Cardiology,0.4041956411663823,0.5028791574866979,0,17,7,35
53,Female,Pediatrics,0.43802465737594964,0.45881285040692454,8,11,48,188
64,Male,Pediatrics,0.1845837458567821,0.6203568087925844,7,0,34,182
51,Female,Cardiology,0.6204521268965566,0.5277961784725257,0,11,14,53
56,Male,Oncology,0.13234804641706788,0.5722626047501516,5,4,46,142
64,Female,Cardiology,0.5190382163192142,0.23332247217134922,4,16,21,79
30,Female,Pediatrics,0.588380171236819,0.1653357034568198,5,15,13,163
64,Female,Oncology,0.357887126915456,0.5378995885665578,9,14,25,127
43,Female,Pediatrics,0.6317499345121097,0.5744425805237215,4,14,27,77
32,Male,Cardiology,0.1274502249451445,0.6938283423004376,5,4,22,28
30,Female,Cardiology,0.13361336987429298,0.31820148999242714,4,13,13,29
34,Male,Pediatrics,0.8403405045936925,0.29181175576530904,4,1,23,122
